urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:rainfall,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:rainfall:qualityIndex
2023-01-02T00:59:05+01:00,P_BED,0.200000,100
2023-01-02T08:31:40+01:00,P_BED,0.200000,100
2023-01-02T09:02:30+01:00,P_BED,0.200000,100
2023-01-02T09:28:55+01:00,P_BED,0.200000,100
2023-01-02T09:49:20+01:00,P_BED,0.200000,100
2023-01-02T10:17:00+01:00,P_BED,0.200000,100
2023-01-02T11:36:35+01:00,P_BED,0.200000,100
2023-01-02T12:55:10+01:00,P_BED,0.200000,100
2023-01-08T07:24:40+01:00,P_BED,0.200000,100
2023-01-08T08:32:40+01:00,P_BED,0.200000,100
2023-01-08T09:09:45+01:00,P_BED,0.200000,100
2023-01-08T09:23:10+01:00,P_BED,0.200000,100
2023-01-08T09:53:10+01:00,P_BED,0.200000,100
2023-01-08T10:10:10+01:00,P_BED,0.200000,100
2023-01-08T10:49:45+01:00,P_BED,0.200000,100
2023-01-08T11:04:40+01:00,P_BED,1.200000,100
2023-01-08T11:14:30+01:00,P_BED,0.200000,100
2023-01-08T11:28:55+01:00,P_BED,0.200000,100
2023-01-08T11:51:20+01:00,P_BED,0.200000,100
2023-01-08T12:29:25+01:00,P_BED,0.200000,100
2023-01-08T13:54:25+01:00,P_BED,0.200000,100
2023-01-08T14:18:40+01:00,P_BED,0.200000,100
2023-01-08T15:12:35+01:00,P_BED,0.200000,100
2023-01-08T17:02:00+01:00,P_BED,0.200000,100
2023-01-08T20:56:15+01:00,P_BED,0.200000,100
2023-01-08T23:09:15+01:00,P_BED,0.200000,100
2023-01-09T04:37:45+01:00,P_BED,0.200000,100
2023-01-09T04:45:55+01:00,P_BED,0.200000,100
2023-01-09T04:53:40+01:00,P_BED,0.200000,100
2023-01-09T04:58:15+01:00,P_BED,0.200000,100
2023-01-09T05:02:30+01:00,P_BED,0.200000,100
2023-01-09T05:08:30+01:00,P_BED,0.200000,100
2023-01-09T05:13:40+01:00,P_BED,0.200000,100
2023-01-09T05:18:35+01:00,P_BED,0.200000,100
2023-01-09T05:23:00+01:00,P_BED,0.200000,100
2023-01-09T05:27:05+01:00,P_BED,0.200000,100
2023-01-09T05:30:15+01:00,P_BED,0.200000,100
2023-01-09T05:32:50+01:00,P_BED,0.200000,100
2023-01-09T05:35:30+01:00,P_BED,0.200000,100
2023-01-09T05:39:40+01:00,P_BED,0.200000,100
2023-01-09T05:52:00+01:00,P_BED,0.200000,100
2023-01-09T17:02:25+01:00,P_BED,0.200000,100
2023-01-09T17:20:15+01:00,P_BED,0.200000,100
2023-01-09T17:56:00+01:00,P_BED,0.200000,100
2023-01-10T01:59:20+01:00,P_BED,0.200000,100
2023-01-10T02:42:25+01:00,P_BED,0.200000,100
2023-01-10T04:43:50+01:00,P_BED,0.200000,100
2023-01-10T04:52:55+01:00,P_BED,0.200000,100
2023-01-10T04:59:45+01:00,P_BED,0.200000,100
2023-01-10T05:12:40+01:00,P_BED,0.200000,100
2023-01-10T05:37:00+01:00,P_BED,0.200000,100
2023-01-10T06:16:45+01:00,P_BED,0.200000,100
2023-01-15T14:07:35+01:00,P_BED,0.200000,100
2023-01-15T14:16:55+01:00,P_BED,0.200000,100
2023-01-15T14:27:40+01:00,P_BED,0.200000,100
2023-01-15T14:36:40+01:00,P_BED,0.200000,100
2023-01-15T14:44:05+01:00,P_BED,0.200000,100
2023-01-15T14:55:05+01:00,P_BED,0.200000,100
2023-01-15T15:36:35+01:00,P_BED,0.200000,100
2023-01-16T17:33:00+01:00,P_BED,0.200000,100
2023-01-16T17:43:45+01:00,P_BED,0.200000,100
2023-01-17T11:15:00+01:00,P_BED,0.200000,100
2023-01-17T14:29:05+01:00,P_BED,0.200000,100
2023-01-17T14:43:35+01:00,P_BED,0.200000,100
2023-01-17T14:52:50+01:00,P_BED,0.200000,100
2023-01-17T15:34:15+01:00,P_BED,0.200000,100
2023-01-17T15:42:25+01:00,P_BED,0.200000,100
2023-02-05T13:32:00+01:00,P_BED,0.200000,100
2023-02-07T00:08:00+01:00,P_BED,0.200000,100
2023-02-07T00:34:30+01:00,P_BED,0.200000,100
2023-02-07T00:38:55+01:00,P_BED,0.200000,100
2023-02-07T00:44:05+01:00,P_BED,0.200000,100
2023-02-07T00:51:10+01:00,P_BED,0.200000,100
2023-02-07T01:00:00+01:00,P_BED,0.200000,100
2023-02-07T01:05:55+01:00,P_BED,0.200000,100
2023-02-07T01:12:15+01:00,P_BED,0.200000,100
2023-02-07T01:18:40+01:00,P_BED,0.200000,100
2023-02-07T01:26:45+01:00,P_BED,0.200000,100
2023-02-07T01:39:05+01:00,P_BED,0.200000,100
2023-02-07T01:50:30+01:00,P_BED,0.200000,100
2023-02-24T21:38:20+01:00,P_BED,0.200000,100
2023-02-25T01:14:20+01:00,P_BED,0.200000,100
2023-02-25T01:45:35+01:00,P_BED,0.200000,100
